review,mojo_name,mojo_year,rt_name,genre,release_year,stream_year,critical_consensus,description
"Rarely has brand recognition soared to such fetishistic heights, and I regret to inform you that, aside from the updating of the vocal cast, the most blatant discrepancy between the old and the new is a very slight increase in the comedy of flatulence.",The Lion King,1994,The Lion King - Movie Reviews,"Kids & Family , Adventure",2019,2019,"While it can take pride in its visual achievements,The Lion King is a by-the-numbers retelling that lacks the energy and heart that made the original so beloved--though for some fans that may just be enough.","Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny on the plains of Africa. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother -- and former heir to the throne -- has plans of his own. The battle for Pride Rock is soon ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. Now, with help from a curious pair of newfound friends, Simba must figure out how to grow up and take back what is rightfully his."
"I'm very impressed with how they did...I just love cartoons. This is a movie that said sit there, we've done all the work.",The Lion King,1994,The Lion King - Movie Reviews,"Kids & Family , Adventure",2019,2019,"While it can take pride in its visual achievements,The Lion King is a by-the-numbers retelling that lacks the energy and heart that made the original so beloved--though for some fans that may just be enough.","Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny on the plains of Africa. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother -- and former heir to the throne -- has plans of his own. The battle for Pride Rock is soon ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. Now, with help from a curious pair of newfound friends, Simba must figure out how to grow up and take back what is rightfully his."
"While there are dashes of cute and colourful revelry, the question remains: did we really need a near-faithful remake with added flab?",The Lion King,1994,The Lion King - Movie Reviews,"Kids & Family , Adventure",2019,2019,"While it can take pride in its visual achievements,The Lion King is a by-the-numbers retelling that lacks the energy and heart that made the original so beloved--though for some fans that may just be enough.","Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny on the plains of Africa. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother -- and former heir to the throne -- has plans of his own. The battle for Pride Rock is soon ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. Now, with help from a curious pair of newfound friends, Simba must figure out how to grow up and take back what is rightfully his."
"It's the soundtrack and the star voices - both in the English and the Hindi versions - that bring things alive, specially in some throwaway light moments, like a affianced-betrothed wordplay or a hornbill vs woodpecker debate.",The Lion King,1994,The Lion King - Movie Reviews,"Kids & Family , Adventure",2019,2019,"While it can take pride in its visual achievements,The Lion King is a by-the-numbers retelling that lacks the energy and heart that made the original so beloved--though for some fans that may just be enough.","Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny on the plains of Africa. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother -- and former heir to the throne -- has plans of his own. The battle for Pride Rock is soon ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. Now, with help from a curious pair of newfound friends, Simba must figure out how to grow up and take back what is rightfully his."
"By this point, Disney's do-overs feel a lot like their cash-grabby, inspiration-free '90s direct-to-video sequels, only with vastly better production values.",The Lion King,1994,The Lion King - Movie Reviews,"Kids & Family , Adventure",2019,2019,"While it can take pride in its visual achievements,The Lion King is a by-the-numbers retelling that lacks the energy and heart that made the original so beloved--though for some fans that may just be enough.","Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny on the plains of Africa. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother -- and former heir to the throne -- has plans of his own. The battle for Pride Rock is soon ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. Now, with help from a curious pair of newfound friends, Simba must figure out how to grow up and take back what is rightfully his."
"No matter when you first discovered Simba's story, the live-action Lion King will leave you speechless.",The Lion King,1994,The Lion King - Movie Reviews,"Kids & Family , Adventure",2019,2019,"While it can take pride in its visual achievements,The Lion King is a by-the-numbers retelling that lacks the energy and heart that made the original so beloved--though for some fans that may just be enough.","Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny on the plains of Africa. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother -- and former heir to the throne -- has plans of his own. The battle for Pride Rock is soon ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. Now, with help from a curious pair of newfound friends, Simba must figure out how to grow up and take back what is rightfully his."
For grownups - as opposed to the happy cubs who will adore them for taking them to The Lion King - this remake doesn't feel like visionary storytelling so much as a proving ground for newer technologies: virtual reality and other immersive techniques.,The Lion King,1994,The Lion King - Movie Reviews,"Kids & Family , Adventure",2019,2019,"While it can take pride in its visual achievements,The Lion King is a by-the-numbers retelling that lacks the energy and heart that made the original so beloved--though for some fans that may just be enough.","Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny on the plains of Africa. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother -- and former heir to the throne -- has plans of his own. The battle for Pride Rock is soon ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. Now, with help from a curious pair of newfound friends, Simba must figure out how to grow up and take back what is rightfully his."
"Where the animated original had an endearingly cheery anthropomorphism, with wide eyes and cute expressions, this lacks that. You're marveling at the beauty of the animals, but it just doesn't work with the material.",The Lion King,1994,The Lion King - Movie Reviews,"Kids & Family , Adventure",2019,2019,"While it can take pride in its visual achievements,The Lion King is a by-the-numbers retelling that lacks the energy and heart that made the original so beloved--though for some fans that may just be enough.","Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny on the plains of Africa. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother -- and former heir to the throne -- has plans of his own. The battle for Pride Rock is soon ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. Now, with help from a curious pair of newfound friends, Simba must figure out how to grow up and take back what is rightfully his."
In the end The Lion King left me longing for the emotional moments of the first film.,The Lion King,1994,The Lion King - Movie Reviews,"Kids & Family , Adventure",2019,2019,"While it can take pride in its visual achievements,The Lion King is a by-the-numbers retelling that lacks the energy and heart that made the original so beloved--though for some fans that may just be enough.","Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny on the plains of Africa. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother -- and former heir to the throne -- has plans of his own. The battle for Pride Rock is soon ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. Now, with help from a curious pair of newfound friends, Simba must figure out how to grow up and take back what is rightfully his."
You'll want to pluck Simba from the screen and give him a cuddle.,The Lion King,1994,The Lion King - Movie Reviews,"Kids & Family , Adventure",2019,2019,"While it can take pride in its visual achievements,The Lion King is a by-the-numbers retelling that lacks the energy and heart that made the original so beloved--though for some fans that may just be enough.","Simba idolizes his father, King Mufasa, and takes to heart his own royal destiny on the plains of Africa. But not everyone in the kingdom celebrates the new cub's arrival. Scar, Mufasa's brother -- and former heir to the throne -- has plans of his own. The battle for Pride Rock is soon ravaged with betrayal, tragedy and drama, ultimately resulting in Simba's exile. Now, with help from a curious pair of newfound friends, Simba must figure out how to grow up and take back what is rightfully his."
"I felt like Frozen was a mixed bag: not as bad as I feared it would be, but not as fun to watch as Tangled or as subversive as Brave.",Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
"... Frozen, the newest Disney contribution directed by Chris Buck and Jennifer Lee, falls a bit short.",Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
"The songs aren't good enough to stick in your head and the characters aren't good enough to be iconic, but Frozen is pleasant enough. May it have a long life on ABC Family, clogging up your weekend TV holiday schedule for years to come.",Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
"'Frozen' feels like it's breaking new ground in telling a story where the women are actually in control, and where the clichs of their narratives are turned inside out, almost as a sly commentary on what has come before.",Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
"The computer animation of the characters is expressive and detailed (we even notice the freckles on the shoulder of the heroine) while the film-makers work wonders with glacial landscapes in a land of ""eternal winter.""",Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
"Chris Buck and Jennifer Lee's extremely loose adaptation of Hans Christian Andersen's The Snow Queen strives to put a post-feminist spin on an archetypal Disney princess fantasy, with mixed success.",Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
"Hans Christian Andersen's The Snow Queen is the loose inspiration for Frozen, a celebration of family and the bond of sisterhood set against a beguiling snowbound backdrop. And like Tangled before it, Frozen has all the hallmarks of an instant classic.",Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
"The animation is simply superb. Ice has never looked so good, except as the real thing. Technical precision and innovation is expected nowadays in computer animation but Frozen combines that with a gorgeously rich design.",Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
Disney has another hit in its repertoire with this heartfelt story of sisterly love and one of the few films released in 3-D this year that splendidly incorporates the technology into the plot line.,Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
"Frozen is a glacially stiff, perpetually unamusing animated musical with a talk-singing score that will leave one pining for the lifeless soundtrack to The Princess and the Frog.",Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
"Frozen reminds you how many animated films rely more on inside jokes. It's modern without being hip, earnest with being sappy.",Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
A very traditional Disney animated feature filled with rather old-fashioned songs.,Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
"Has everything you want for Christmas: belting songs, soaring hearts, snappy jokes and an inspirational reworking of the traditional happy ending.",Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
"The glitz will satisfy militantly feminine sprogs, but is completely at odds with Elsa's gutsy character and Frozen's pioneering message.",Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
This loose adaptation of The Snow Queen is the best film from Walt Disney Animation in close to a generation.,Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
"Extravagant care is taken with minutiae, and the directors, Chris Buck and Jennifer Lee, whistle through the first twenty minutes of the plot with a controlled giddiness that would leave many live-action adventures staggering in their tracks.",Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
Glorious family entertainment.,Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
"It is jolly, spectacular and sumptuously 3D'd. At times it is actually funny.",Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
A very decent seasonal Disney feature which amply refreshes a haggard old template.,Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
"Quietly revolutionary, or boldly feminist, or just a well-told story being true to itself?",Frozen,2013,Frozen - Movie Reviews,"Comedy , Kids & Family , Animation , Adventure , Fantasy , Musical",2013,2014,"Beautifully animated, smartly written, and stocked with singalong songs, Frozen adds another worthy entry to the Disney canon.","When their kingdom becomes trapped in perpetual winter, fearless Anna (Kristen Bell) joins forces with mountaineer Kristoff (Jonathan Groff) and his reindeer sidekick to find Anna's sister, Snow Queen Elsa (Idina Menzel), and break her icy spell. Although their epic journey leads them to encounters with mystical trolls, a comedic snowman (Josh Gad), harsh conditions, and magic at every turn, Anna and Kristoff bravely push onward in a race to save their kingdom from winter's cold grip."
